,As_of_Year,Respondent_Name_CR,State,Count,Sum,Median,Percentage,colors
0,2012,1ST MARINER BANK,DC,253,96798,372.0,0.01864425714197664,#EA7455
1,2012,1ST MARINER BANK,DE,117,24417,213.0,0.00986992093391757,#EA7455
2,2012,1ST MARINER BANK,MD,4170,1163242,261.0,0.0378004715399568,#EA7455
3,2012,1ST MARINER BANK,VA,208,55099,252.0,0.001655709984782517,#EA7455
4,2012,1ST MARINER BANK,WV,58,10387,181.0,0.005846317332273676,#EA7455
5,2012,ATLANTIC BAY MORTGAGE GRP LLC,VA,4366,867248,180.0,0.026060566850263495,#FBA337
6,2012,ATLANTIC BAY MORTGAGE GRP LLC,WV,27,3457,122.0,0.0019457705803090494,#FBA337
7,2012,ATLANTIC COAST MORTGAGE LLC,DC,231,98407,403.0,0.01895416653826004,#F5E926
8,2012,ATLANTIC COAST MORTGAGE LLC,MD,285,113994,382.0,0.0037043254565480225,#F5E926
9,2012,ATLANTIC COAST MORTGAGE LLC,VA,1858,733744,389.0,0.02204880791074726,#F5E926
10,2012,BANK OF AMERICA NA,DC,971,363986,293.0,0.07010732225954575,#5101A2
11,2012,BANK OF AMERICA NA,DE,1110,232283,185.0,0.09389420667130176,#5101A2
12,2012,BANK OF AMERICA NA,MD,7103,1937932,239.0,0.06297463761828713,#5101A2
13,2012,BANK OF AMERICA NA,VA,5112,1086881,188.0,0.03266047884662892,#5101A2
14,2012,BANK OF AMERICA NA,WV,302,51335,156.0,0.028893876985873604,#5101A2
15,2012,BRANCH BANKING AND TRUST CO,DC,546,195682,300.0,0.0376902986224537,#6C00A8
16,2012,BRANCH BANKING AND TRUST CO,DE,73,18123,216.0,0.0073257393244619785,#6C00A8
17,2012,BRANCH BANKING AND TRUST CO,MD,5381,1310245,203.0,0.0425774506361279,#6C00A8
18,2012,BRANCH BANKING AND TRUST CO,VA,9541,1507772,133.0,0.04530813908011952,#6C00A8
19,2012,BRANCH BANKING AND TRUST CO,WV,3808,473772,105.0,0.2666623139641825,#6C00A8
20,2012,CITIBANK NA,DC,567,275648,294.0,0.053092545224814325,#A92395
